# Word Corrections TSV Format
# Columns (tab-separated): VERSE_REF	INCORRECT	CORRECT	NOTES (optional)
# VERSE_REF: "BOOK chapter:verse" (e.g., "ΓΕΝΕΣΙΣ 14:22") or "ALL" for global corrections
# Lines starting with # are comments

# Typo Checker Fixes (check_missing_words_for_typos.py)
ΒΑΣΙΛΕΙΩΝ Δ 17:25	ἀποκτενίοντες	ἀποκτείνοντες
ΒΑΣΙΛΕΙΩΝ Δ 18:18	νἱὸς	υἱὸς
ΒΑΣΙΛΕΙΩΝ Δ 19:12	πατρές	πατέρες
ΒΑΣΙΛΕΙΩΝ Δ 21:2	προσώπον	προσώπου
ΒΑΣΙΛΕΙΩΝ Δ 21:4	ὄκῳ	οἴκῳ
ΒΑΣΙΛΕΙΩΝ Δ 21:9	ἠθάνισε	ἠφάνισε
ΒΑΣΙΛΕΙΩΝ Δ 22:14	Θεκουαὺ	Θεκουὰν
ALL	Ἰωσίον	Ἰωσίου
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 7:3	Ιεζραΐ	Ιεζραΐα
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 9:5	ὁ ὑοὶ	οἱ υἱοὶ
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 9:7	Μοσλλὰμ	Μοσολλὰμ
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 9:28	ἐξόσουσι	ἐξοίσουσι
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 9:40	Μεριβάλ	Μεριβαάλ
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 11:13	Φασσδαμὶν	Φασοδαμὶν
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 11:33	Βαρμὶ	Βαρωμὶ
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 14:11	Φαρσίν	Φαρασίν
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 19:2	ἀγγέλοους	ἀπέστειλεν
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 19:3	οὐχ ὅπως	οὐχὶ ὅπως
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 19:3	ἐξερενήσωσι	ἐξερευνήσωσι
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 19:4	Ααυὶδ	Δαυὶδ	rahlf
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 19:6	ἠπχὺνθη	ᾐσχύνθη
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 21:3	παῖδεσ·	παῖδες·
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 21:4	διῆθεν	διῆλθεν
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 21:4	Ἰερουσλήμ	Ἰερουσαλήμ
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 21:6	κατίσχυσν	κατίσχυσε
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 21:17	Δαὶδ	Δαυὶδ
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 21:17	Θθεόν	Θεόν
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 21:17	Θθεός	Θεός
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 21:23	θυαίαν	θυσίαν
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 21:26	Δανδ	Δαυὶδ
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 22:14	ὅτιι	ὅτι
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 23:5	τώσσαρες	τέσσαρες
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 23:5	ὀργάνοιν	ὀργάνοις
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 25:1	ἀποφεγγομένους	ἀποφθεγγομένους
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 25:2	Ναθαυίας	Ναθανίας
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 25:3	Τοδολίας	Γοδολίας
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 25:3	Ἰδιθὺν	Ἰδιθοὺν
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 26:4	τρίος	τρίτος
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 26:1	Μοσελλεμία	Μοσολλαμία	rahlf
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 26:2	Μοσελλαμίᾳ	Μοσολλαμίᾳ	rahlf
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 26:9	Μοσελλεμίᾳ	Μοσολλαμίᾳ	rahlf
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 29:27	τεσσράκοντα	τεσσαράκοντα
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 4:12	γελὰθ	γωλὰθ
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 7:6	ἑστηκότως	ἑστηκότες
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 8:14	πατοὸς	πατρὸς
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 9:20	λογιζόμεμον	λογιζόμενον	rahlf
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 9:27	κέρδους	κέδρους	vaticanus
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 18:5	ἐπίοχω	ἐπίσχω
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 26:9	γενιῶν	γωνιῶν
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 29:18	Ἐξεκίαν	Ἐζεκίαν	rahlf
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 33:9	υἱῶι	υἱῶν
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 33:16	θυσίαυ	θυσίαν
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 34:13	γπαμματεῖς	γραμματεῖς	rahlf
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 34:19	λόηους	λόγους
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 36:7	σἴκου	οἴκου
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 36:11	ἔτου	ἔτους
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 36:15	προθητῶν	προφητῶν
ΕΣΔΡΑΣ 8:35	ἐννενηκανταὲξ	ἐννενηκονταὲξ
ΕΣΔΡΑΣ 9:7	καιὶ	καὶ
ΝΕΕΜΙΑΣ 1:2	κατελείθησαν	κατελείφθησαν
ΝΕΕΜΙΑΣ 3:15	ἐζῳκοδόμησεν	ἐξῳκοδόμησεν
ΝΕΕΜΙΑΣ 9:10	ὅτς	ὅτι
ΝΕΕΜΙΑΣ 10:1	Αευῖται	Λευῖται
ΝΕΕΜΙΑΣ 10:22	Ἰσδδούα	Ἰεδδούα
ΝΕΕΜΙΑΣ 11:3	Ναθιναοι	Ναθιναῖοι
ΝΕΕΜΙΑΣ 12:12	Ἀυανία	Ἀνανία
ΝΕΕΜΙΑΣ 12:17	βαλγὰς	Βαλγὰς
ΝΕΕΜΙΑΣ 12:21	Ἰσδεϊοὺ	Ἰεδεϊοὺ
ΝΕΕΜΙΑΣ 13:25	καταρασάμην	κατηρασάμην
ΝΕΕΜΙΑΣ 13:29	ἀλχιστείᾳ	ἀγχιστείᾳ
ΕΣΘΗΡ 1:1d	σεισμὺς	σεισμός
ΕΣΘΗΡ 1:1e	ἕτομοι	ἕτοιμοι
ΕΣΘΗΡ 1:1	ὁμολογήσαντες σαντες	ὁμολογήσαντες
ΕΣΘΗΡ 1:1q	ἔδωκεων	ἔδωκεν
ΕΣΘΗΡ 1:1r	κακποιῆσαι	κακοποιῆσαι
ΕΣΘΗΡ 1:10	Βωραζὶ	Βαραζὶ
